Name;Status;Flowering;N_Phases;
Astrantia bavarica F. W. Schultz;indigen;3;0
Astrantia major L.;indigen;3;0
Athamanta cretensis L.;indigen;4;0
Athyrium distentifolium Tausch ex Opiz;indigen;2;0
Athyrium filix-femina (L.) Roth;indigen;2;0
Atriplex calotheca (Rafn) Fr.;indigen;4;0
Atriplex glabriuscula Edmondston;indigen;4;0
Atriplex laciniata L.;indigen;3;0
Atriplex littoralis L.;indigen;3;0
Atriplex longipes Drejer;indigen;2;0
Atriplex prostrata Boucher ex DC.;indigen;3;0
Atropa bella-donna L.;indigen;3;0
Baldellia ranunculoides (L.) Parl.;indigen;4;0
Barbarea stricta Andrz.;indigen;3;0
Barbarea vulgaris R. Br.;indigen;3;0
Bartsia alpina L.;indigen;3;0
Bassia hirsuta (L.) Asch.;indigen;2;0
Bassia laniflora (S. G. Gmel.) A. J. Scott;indigen;3;0
Berberis vulgaris L.;indigen;3;0
Berula erecta (Huds.) Coville;indigen;3;0
Beta vulgaris L. s. l.;indigen;3;0
Betonica alopecuros L.;indigen;4;0
Betonica officinalis L.;indigen;2;0
Betula humilis Schrank;indigen;2;0
Betula nana L.;indigen;3;0
Betula pendula Roth;indigen;2;0
Betula pubescens Ehrh. s. l.;indigen;2;0
Bidens cernua L.;indigen;3;0
Bidens radiata Thuill.;indigen;3;0
Bidens tripartita L.;indigen;4;0
Biscutella laevigata L.;indigen;3;0
Bistorta officinalis Delarbre;indigen;3;0
Bistorta vivipara (L.) Delarbre;indigen;3;0
Blackstonia acuminata (W. D. J. Koch & Ziz) Domin;indigen;3;0
Blackstonia perfoliata (L.) Huds. s. str.;indigen;3;0
Blechnum spicant (L.) Roth;indigen;3;0
Blysmus compressus (L.) Panz. ex Link;indigen;2;0
Blysmus rufus (Huds.) Link;indigen;3;0
Bolboschoenus maritimus (L.) Palla;indigen;3;0
Bolboschoenus yagara (Ohwi) A. E. Kozhevn.;indigen;4;0
Bothriochloa ischaemum (L.) Keng;indigen;3;0
Botrychium lunaria (L.) Sw.;indigen;4;0
Botrychium matricariifolium (Retz.) A. Braun ex W. D. J. Koch;indigen;2;0
Botrychium multifidum (S. G. Gmel.) Rupr.;indigen;3;0
Botrychium simplex E. Hitchc.;indigen;2;0
Botrychium virginianum (L.) Sw.;indigen;4;0
Brachypodium pinnatum (L.) P. Beauv.;indigen;2;0
Brachypodium rupestre (Host) Roem. & Schult.;indigen;2;0
Brachypodium sylvaticum (Huds.) P. Beauv.;indigen;2;0
Brassica oleracea L.;indigen;5;0
Briza media L.;indigen;2;0
Bromus benekenii (Lange) Trimen;indigen;2;0
Bromus brachystachys Hornung;indigen;2;0
Bromus erectus Huds.;indigen;6;0
Bromus hordeaceus L.;indigen;4;0
Bromus inermis Leyss.;indigen;2;0
Bromus lepidus Holmberg;indigen;3;0
Bromus racemosus L.;indigen;1;0
Bromus ramosus Huds. s. str.;indigen;2;0
Bromus thominii Hardouin;indigen;3;0
Bryonia dioica Jacq.;indigen;4;0
Buglossoides purpurocaerulea (L.) I. M. Johnst.;indigen;3;0
Buphthalmum salicifolium L.;indigen;4;0
Bupleurum falcatum L.;indigen;3;0
Bupleurum longifolium L.;indigen;2;0
Bupleurum ranunculoides L.;indigen;2;0
Bupleurum tenuissimum L.;indigen;2;0
Butomus umbellatus L.;indigen;3;0
Buxus sempervirens L.;indigen;2;0
Cakile maritima Scop.;indigen;4;0
Calamagrostis arundinacea (L.) Roth;indigen;2;0
Calamagrostis canescens (Weber ex Wiggers) Roth;indigen;2;0
Calamagrostis epigejos (L.) Roth;indigen;2;0
Calamagrostis phragmitoides Hartm.;indigen;2;0
Calamagrostis pseudophragmites (Haller f.) Koel.;indigen;2;0
Calamagrostis pseudopurpurea Gerstl. ex O. R. Heine;indigen;2;0
Calamagrostis stricta (Timm) Koeler;indigen;2;0
Calamagrostis varia (Schrad.) Host;indigen;2;0
Calamagrostis villosa (Chaix ex Vill.) J. F. Gmel.;indigen;2;0
Calamintha einseleana F. W. Schultz;indigen;3;0
Calamintha menthifolia Host;indigen;3;0
Calamintha nepeta (L.) Savi;indigen;3;0
Caldesia parnassiifolia (Bassi ex L.) Parl.;indigen;3;0
Calla palustris L.;indigen;5;0
Callitriche brutia Petagna;indigen;6;0
Callitriche cophocarpa Sendtner;indigen;6;0
Callitriche hamulata KÅtz. ex W. D. J. Koch;indigen;3;0
Callitriche hermaphroditica L.;indigen;4;0
Callitriche obtusangula Le Gall;indigen;7;0
Callitriche palustris L.;indigen;7;0
Callitriche platycarpa KÅtz.;indigen;6;0
Callitriche stagnalis Scop.;indigen;6;0
Calluna vulgaris (L.) Hull;indigen;3;0
Caltha palustris L.;indigen;3;0
Calystegia sepium (L.) R. Br.;indigen;4;0
Calystegia soldanella (L.) R. Br. ex Roem. & Schult.;indigen;2;0
Campanula alpina Jacq.;indigen;2;0
Campanula barbata L.;indigen;3;0
Campanula baumgartenii Becker;indigen;2;0
Campanula bononiensis L.;indigen;2;0
Campanula cervicaria L.;indigen;3;0
Campanula cochleariifolia Lam.;indigen;4;0
Campanula glomerata L.;indigen;4;0
Campanula latifolia L.;indigen;2;0
Campanula patula L.;indigen;3;0
Campanula persicifolia L.;indigen;4;0
Campanula rapunculoides L.;indigen;4;0
Campanula rapunculus L.;indigen;3;0
Campanula rotundifolia L. s. str.;indigen;5;0
Campanula scheuchzeri Vill.;indigen;2;0
Campanula sibirica L.;indigen;1;0
Campanula thyrsoides L.;indigen;2;0
Campanula trachelium L.;indigen;2;0
Capsella bursa-pastoris (L.) Med.;indigen;12;2
Cardamine alpina Willd.;indigen;2;0
Cardamine amara L.;indigen;3;0
Cardamine dentata Schult.;indigen;3;0
Cardamine flexuosa With.;indigen;7;2
Cardamine hirsuta L.;indigen;4;0
Cardamine impatiens L.;indigen;3;0
Cardamine parviflora L.;indigen;3;0
Cardamine pratensis L. (s. l.);indigen;3;0
Cardamine resedifolia L.;indigen;4;0
Cardamine trifolia L.;indigen;3;0
Cardamine udicola Jord.;indigen;3;0
Cardaminopsis arenosa (L.) Hayek;indigen;5;0
Cardaminopsis halleri (L.) Hayek;indigen;3;0
Cardaminopsis petraea (L.) Hiitonen;indigen;3;0
Carduus crispus L.;indigen;3;0
Carduus defloratus L.;indigen;4;0
Carduus personata (L.) Jacq.;indigen;2;0
Carex acuta L.;indigen;2;0
Carex acutiformis Ehrh.;indigen;2;0
Carex alba Scop.;indigen;2;0
Carex appropinquata Schumach.;indigen;2;0
Carex aquatilis Wahlenb.;indigen;2;0
Carex arenaria L.;indigen;6;0
Carex atherodes Spreng.;indigen;2;0
Carex atrata L. s. l.;indigen;3;0
Carex baldensis L.;indigen;2;0
Carex bigelowii Torr. ex Schwein.;indigen;2;0
Carex binervis Sm.;indigen;2;0
Carex bohemica Schreb.;indigen;4;0
Carex brachystachys Schrank;indigen;3;0
Carex brizoides L.;indigen;2;0
Carex brunnescens (Pers.) Poir.;indigen;1;0
Carex buekii Wimm.;indigen;1;0
Carex buxbaumii Wahlenb.;indigen;2;0
Carex canescens L.;indigen;2;0
Carex capillaris L.;indigen;3;0
Carex capitata Sol. ex. L.;indigen;2;0
Carex caryophyllea Latourr.;indigen;2;0
Carex cespitosa L.;indigen;2;0
Carex chordorrhiza L. f.;indigen;2;0
Carex curvata Knaf;indigen;2;0
Carex davalliana Sm.;indigen;2;0
Carex demissa Hornem.;indigen;3;0
Carex depauperata Gooden. ex With.;indigen;2;0
Carex diandra Schrank;indigen;2;0
Carex digitata L.;indigen;1;0
Carex dioica L.;indigen;2;0
Carex distans L.;indigen;2;0
Carex disticha Huds.;indigen;2;0
Carex divulsa Stokes s. str.;indigen;4;0
Carex echinata Murray;indigen;2;0
Carex elata All.;indigen;2;0
Carex elongata L.;indigen;2;0
Carex ericetorum Pollich;indigen;2;0
Carex extensa Good.;indigen;2;0
Carex ferruginea Scop.;indigen;4;0
Carex firma (Mygind) Host;indigen;3;0
Carex flacca Schreb.;indigen;3;0
Carex flava L. s. str.;indigen;5;0
Carex frigida All.;indigen;3;0
Carex fuliginosa Schkuhr;indigen;3;0
Carex guestphalica (Boenn. ex Rchb.) Boenn. ex O. Lang;indigen;2;0
Carex halleriana Asso;indigen;2;0
Carex hartmanii Cajander;indigen;2;0
Carex heleonastes Ehrh. ex L. f.;indigen;2;0
Carex hirta L.;indigen;2;0
Carex hordeistichos Vill.;indigen;1;0
Carex hostiana DC.;indigen;2;0
Carex humilis Leyss.;indigen;2;0
Carex laevigata Sm.;indigen;2;0
Carex lasiocarpa Ehrh.;indigen;2;0
Carex lepidocarpa Tausch;indigen;2;0
Carex ligerica J. Gay;indigen;2;0
Carex limosa L.;indigen;2;0
Carex melanostachya M. Bieb. ex Willd.;indigen;2;0
Carex michelii Host;indigen;2;0
Carex microglochin Wahlenb.;indigen;3;0
Carex montana L.;indigen;3;0
Carex mucronata All.;indigen;4;0
Carex muricata L. s. str.;indigen;3;0
Carex nigra (L.) Reichard;indigen;2;0
Carex obtusata Lilj.;indigen;2;0
Carex ornithopoda Willd. s. str.;indigen;1;0
Carex ornithopodioides Hausm.;indigen;2;0
Carex otrubae Podp.;indigen;3;0
Carex ovalis Good.;indigen;2;0
Carex pairae F. W. Schultz;indigen;3;0
Carex pallescens L.;indigen;3;0
Carex panicea L.;indigen;2;0
Carex paniculata L.;indigen;2;0
Carex parviflora Host;indigen;2;0
Carex pauciflora Lightf.;indigen;3;0
Carex paupercula Michx.;indigen;3;0
Carex pendula Huds.;indigen;1;0
Carex pilosa Scop.;indigen;2;0
Carex pilulifera L.;indigen;2;0
Carex praecox Schreb. s. str.;indigen;3;0
Carex pseudobrizoides Clavaud;indigen;3;0
Carex pseudocyperus L.;indigen;2;0
Carex pulicaris L.;indigen;2;0
Carex punctata Gaudin;indigen;3;0
Carex randalpina B. Walln.;indigen;2;0
Carex remota L.;indigen;2;0
Carex riparia Curtis;indigen;2;0
Carex rostrata Stokes;indigen;1;0
Carex rupestris All.;indigen;2;0
Carex secalina Wahlenb.;indigen;1;0
Carex sempervirens Vill.;indigen;3;0
Carex spicata Huds.;indigen;2;0
Carex strigosa Huds.;indigen;2;0
Carex supina Wahlenb.;indigen;2;0
Carex sylvatica Huds.;indigen;2;0
Carex tomentosa L.;indigen;2;0
Carex trinervis Degl.;indigen;2;0
Carex umbrosa Host;indigen;2;0
Carex vaginata Tausch;indigen;2;0
Carex vesicaria L.;indigen;1;0
Carex viridula Michx.;indigen;5;0
Carex vulpina L.;indigen;3;0
Carex x oenensis A. Neumann ex B. Walln. excl. descr. (Carex acuta x C. randalpina);indigen;1;0
